TIME,Probe_001,Probe_002,Probe_003,Probe_004,Probe_005,Probe_006,Probe_007,Probe_008,Probe_009,Probe_010,Probe_011,Probe_012,Probe_013,Probe_014,Probe_015,Probe_016,Probe_017,Probe_018,Probe_019,Probe_020
2019-01-09T08:13:39Z,55.81,53.12,43.65,63.85,61.38,38.73,47.07,58.43,38.55,54.25,55.74,58.55,57.43,67.98,48.97,45.37,30.06,47.95,42.54,44.52
2019-01-09T08:13:44Z,55.71,52.81,41.76,63.38,62.28,37.65,48.46,58.84,38.95,2040.92,58.20,59.01,56.47,67.54,49.63,45.55,28.59,48.90,42.04,45.45
2019-01-09T08:13:49Z,57.97,53.69,39.98,62.33,62.71,37.62,2460.90,58.71,38.61,54.95,60.25,59.18,57.95,66.36,49.65,46.75,26.34,50.12,41.04,43.32
2019-01-09T08:13:54Z,59.20,54.10,40.14,61.41,62.68,38.22,47.65,59.05,37.45,56.11,62.45,59.04,58.63,68.20,50.30,46.26,25.88,49.62,41.48,42.05
2019-01-09T08:13:59Z,59.58,52.81,39.86,60.03,61.62,39.13,49.30,59.43,36.86,56.31,60.35,59.26,57.73,66.00,50.86,46.20,26.59,48.73,42.65,41.49
2019-01-09T08:14:04Z,58.59,53.10,39.01,60.46,61.20,39.25,47.75,58.88,34.18,56.02,60.27,59.47,56.14,65.34,51.49,2056.16,24.21,51.08,41.54,39.57
2019-01-09T08:14:09Z,60.03,54.40,40.22,59.22,60.93,40.15,48.52,58.87,35.91,55.45,60.01,59.12,54.61,67.51,51.44,48.23,26.45,50.80,41.23,39.89
2019-01-09T08:14:14Z,58.25,53.97,41.78,59.54,61.18,40.80,48.00,58.64,33.55,55.20,58.49,58.80,53.47,66.31,50.92,49.08,27.54,51.76,42.52,39.96
2019-01-09T08:14:19Z,60.75,52.64,43.21,58.23,61.15,41.09,46.60,58.48,35.33,55.43,59.84,58.41,55.07,67.57,50.55,48.30,26.66,52.67,41.63,41.93
2019-01-09T08:14:24Z,60.68,52.20,41.85,57.14,61.37,42.49,45.75,59.00,36.28,55.13,60.22,58.70,54.66,65.59,49.99,48.21,28.62,53.91,42.54,42.12
2019-01-09T08:14:29Z,58.77,51.51,40.61,57.63,61.35,41.16,44.88,59.28,33.52,53.89,58.88,58.65,53.35,64.85,49.84,47.46,30.47,54.92,42.85,42.15
2019-01-09T08:14:34Z,58.93,52.06,40.42,57.51,61.56,41.91,44.68,59.01,32.22,54.83,59.89,58.54,54.60,66.45,49.91,48.00,28.12,56.55,43.96,39.96
2019-01-09T08:14:39Z,61.06,50.96,39.15,57.76,60.78,40.95,45.19,59.16,29.54,54.86,60.78,58.04,55.50,67.30,49.61,2138.85,25.56,55.17,45.18,37.22
2019-01-09T08:14:44Z,62.43,51.42,39.72,57.98,61.88,39.94,45.01,59.35,28.21,54.45,59.39,58.55,54.25,67.71,48.92,46.37,26.41,55.54,44.76,36.28
2019-01-09T08:14:49Z,61.58,51.84,39.76,57.27,62.44,40.71,44.79,58.80,29.77,54.99,60.82,58.10,53.40,66.44,49.24,46.12,27.74,55.61,46.10,39.10
2019-01-09T08:14:54Z,59.47,51.02,40.18,56.28,62.81,41.59,44.01,59.25,32.13,54.13,59.78,57.57,2275.87,68.17,49.84,46.51,27.81,57.43,45.35,41.09
2019-01-09T08:14:59Z,58.54,52.18,39.12,57.80,62.53,40.39,42.45,59.57,30.39,55.06,60.12,57.24,53.43,68.92,49.27,45.83,30.45,56.25,44.49,42.26
2019-01-09T08:15:04Z,59.84,51.95,39.30,57.69,63.16,41.18,43.19,59.48,32.18,55.42,61.31,57.22,53.98,68.75,49.65,45.20,29.77,55.41,45.16,41.02
2019-01-09T08:15:09Z,59.22,53.22,40.27,57.73,62.79,41.61,42.55,59.78,33.81,55.85,59.12,57.17,53.63,68.01,49.37,46.83,29.81,57.81,44.45,43.33
2019-01-09T08:15:14Z,59.52,53.75,38.58,58.29,63.76,41.21,44.09,59.69,31.53,56.96,57.21,57.57,54.54,66.55,49.42,45.22,26.91,60.02,45.11,45.00
2019-01-09T08:15:19Z,58.33,54.55,40.44,59.31,62.77,40.79,44.48,60.16,29.95,57.19,54.97,57.95,54.21,2118.23,49.29,46.16,27.32,60.46,46.14,44.18
2019-01-09T08:15:24Z,58.73,55.62,41.20,58.72,62.02,41.79,45.89,60.68,28.77,58.31,57.40,58.08,53.94,67.07,49.67,45.50,30.20,59.00,46.27,46.75
2019-01-09T08:15:29Z,58.14,54.62,39.84,57.83,60.86,43.16,44.42,60.67,30.36,57.28,56.20,57.81,2180.15,64.92,49.60,47.12,29.70,2814.02,44.84,47.89
2019-01-09T08:15:34Z,56.33,53.82,38.75,58.05,59.76,41.52,44.12,60.76,30.78,56.94,56.20,57.68,56.72,63.86,49.16,46.19,27.13,59.80,44.23,46.71
2019-01-09T08:15:39Z,53.95,53.00,39.33,58.93,59.57,40.55,45.39,60.68,28.02,56.20,57.42,57.57,56.60,64.37,49.48,46.35,28.10,58.12,45.27,48.36
2019-01-09T08:15:44Z,51.88,54.80,40.89,58.92,58.74,39.63,44.39,61.00,30.02,57.09,57.99,57.93,58.35,63.90,49.25,2091.55,26.93,56.15,45.89,45.67
2019-01-09T08:15:49Z,49.71,54.01,39.64,57.66,57.74,41.04,45.46,61.40,28.09,57.09,57.87,57.39,57.42,64.59,49.25,46.76,27.32,54.80,45.08,46.23
2019-01-09T08:15:54Z,48.47,55.81,41.40,57.02,57.28,42.43,46.67,60.86,28.49,58.30,57.01,57.31,57.37,2254.63,48.85,45.57,28.41,54.48,43.68,47.09
2019-01-09T08:15:59Z,46.43,57.37,41.12,57.91,58.25,43.06,46.09,60.41,30.67,58.40,55.44,56.95,56.47,65.22,49.17,46.94,29.54,52.91,2087.79,44.46
2019-01-09T08:16:04Z,46.83,56.92,40.37,56.84,58.81,43.72,47.32,60.45,30.93,59.47,53.87,57.41,58.00,67.07,48.93,47.86,31.27,54.51,40.86,43.04
2019-01-09T08:16:09Z,46.06,57.35,38.53,56.33,57.73,42.43,48.79,60.98,29.34,58.90,53.49,56.92,59.02,68.01,49.53,46.91,28.98,53.60,41.21,41.79
2019-01-09T08:16:14Z,43.84,59.24,38.48,55.43,58.14,42.87,48.97,60.90,31.25,59.48,52.04,56.62,57.88,66.23,50.17,45.67,26.94,52.78,42.59,42.64
2019-01-09T08:16:19Z,42.67,2488.19,38.12,56.82,57.08,42.06,48.01,61.23,33.78,60.34,52.61,56.22,58.31,64.17,50.00,45.52,25.87,53.70,41.63,45.05
2019-01-09T08:16:24Z,43.35,58.66,36.75,57.47,57.41,41.15,48.50,61.69,32.85,60.37,52.15,55.99,56.62,64.10,49.96,43.95,25.40,55.76,41.68,44.56
2019-01-09T08:16:29Z,45.12,57.71,37.14,57.91,56.49,40.29,47.01,62.00,35.62,61.30,49.96,55.78,56.76,64.91,49.90,44.52,24.73,57.83,41.56,45.31
2019-01-09T08:16:34Z,47.61,59.21,38.70,59.06,55.74,41.13,47.68,61.66,37.01,60.11,47.80,56.25,55.45,63.43,50.14,43.67,27.24,59.91,40.57,47.21
2019-01-09T08:16:39Z,46.70,57.78,39.15,58.55,55.11,40.17,48.97,62.09,38.38,61.35,48.57,56.82,56.38,64.46,49.71,44.62,24.41,57.51,39.54,48.52
2019-01-09T08:16:44Z,48.37,2396.31,39.44,57.87,55.53,40.75,50.47,1988.04,35.85,60.58,50.67,56.42,55.09,64.65,50.20,43.78,26.55,58.18,39.10,46.59
2019-01-09T08:16:49Z,49.71,56.63,38.82,58.89,55.57,39.34,48.81,62.92,36.39,61.72,52.68,55.95,56.00,64.69,50.24,45.18,29.43,60.03,39.20,47.68
2019-01-09T08:16:54Z,48.41,55.65,39.71,57.96,54.88,38.23,49.11,62.49,37.35,61.45,53.20,55.49,57.32,64.40,49.90,44.43,31.90,57.91,37.99,48.61
2019-01-09T08:16:59Z,48.98,56.81,38.12,57.34,54.20,38.65,50.49,62.87,36.50,61.61,53.81,55.28,56.37,62.40,49.74,43.86,30.97,55.52,37.91,49.09
2019-01-09T08:17:04Z,48.24,58.14,39.38,56.04,53.60,37.96,51.95,62.42,35.66,61.62,53.18,55.84,57.43,60.36,49.73,43.98,31.22,53.24,37.83,50.36
2019-01-09T08:17:09Z,49.84,59.62,37.75,55.48,54.37,36.46,51.06,62.61,36.41,61.44,50.59,55.62,57.08,61.41,49.92,44.30,30.76,54.71,37.60,51.08
2019-01-09T08:17:14Z,49.03,60.01,39.26,55.82,54.80,37.85,49.65,63.03,37.52,60.28,51.39,56.01,56.59,61.12,49.44,44.00,31.39,53.42,37.20,53.72
2019-01-09T08:17:19Z,50.18,58.75,40.87,56.63,55.78,39.48,49.16,62.81,39.77,60.58,53.37,55.79,2066.02,59.61,50.11,44.39,33.82,55.08,38.45,53.21
2019-01-09T08:17:24Z,49.60,58.11,39.40,56.38,55.75,40.45,49.37,62.32,39.71,61.31,54.13,55.27,58.76,60.84,49.65,43.56,31.41,55.64,38.32,52.61
2019-01-09T08:17:29Z,50.80,58.91,37.63,56.19,55.77,39.12,50.77,61.90,36.79,62.21,52.77,55.11,58.14,60.84,50.25,44.90,30.33,54.55,38.73,50.64
2019-01-09T08:17:34Z,52.17,58.76,36.65,54.96,56.91,40.57,50.25,62.04,39.47,2100.76,50.60,55.68,57.78,59.43,49.55,45.27,32.94,55.44,37.31,53.01
2019-01-09T08:17:39Z,53.79,59.03,36.95,54.02,55.74,41.16,51.41,62.11,40.96,2068.23,49.41,56.00,56.41,59.48,49.66,46.46,34.17,55.09,38.73,52.64
2019-01-09T08:17:44Z,52.48,59.43,35.95,54.98,55.64,41.24,49.97,61.77,40.64,62.07,47.20,55.89,55.40,58.49,49.68,45.38,31.47,55.35,39.32,54.29
2019-01-09T08:17:49Z,52.58,59.77,36.28,54.69,55.46,41.46,49.34,61.31,43.50,61.62,49.54,56.09,55.53,58.40,49.48,44.53,32.38,54.76,40.16,53.61
2019-01-09T08:17:54Z,51.01,58.63,36.61,53.39,55.73,41.61,49.01,61.61,44.08,61.85,48.28,56.11,55.57,56.31,48.89,1975.35,34.50,56.77,40.51,55.43
2019-01-09T08:17:59Z,52.81,57.03,36.42,53.85,56.90,40.54,49.49,62.14,42.76,62.91,45.96,55.64,55.44,54.12,49.56,42.00,36.59,56.22,40.53,57.79
2019-01-09T08:18:04Z,53.88,55.91,37.47,52.66,57.36,41.86,48.11,62.16,40.13,62.38,43.82,55.92,54.61,52.44,50.09,40.77,33.97,57.43,41.82,57.29
2019-01-09T08:18:09Z,55.46,54.82,37.29,53.81,58.54,41.62,47.82,62.17,42.07,61.44,43.55,56.09,54.13,50.86,50.30,41.08,35.86,2326.65,43.18,59.67
2019-01-09T08:18:14Z,55.59,53.75,35.48,53.86,58.39,40.17,46.68,62.37,42.27,61.36,45.02,55.85,53.00,52.74,50.99,42.70,36.23,58.04,42.01,58.31
2019-01-09T08:18:19Z,57.54,52.98,33.81,54.14,59.35,40.17,45.04,61.94,40.37,60.37,45.07,55.83,52.18,51.80,50.46,44.21,35.46,56.16,41.58,58.50
2019-01-09T08:18:24Z,57.17,51.39,32.45,55.52,59.78,40.25,45.81,62.51,42.22,61.44,43.99,56.38,52.30,53.44,50.86,43.33,36.79,53.87,41.10,59.37
2019-01-09T08:18:29Z,58.23,50.07,30.56,53.96,59.55,40.54,44.90,62.94,42.18,62.39,42.96,56.89,51.12,53.65,51.32,41.76,38.45,55.06,40.96,60.92
2019-01-09T08:18:34Z,59.18,50.39,29.81,53.66,59.74,41.91,45.29,63.46,41.12,61.70,45.08,56.33,50.76,53.75,50.99,42.12,36.64,56.51,41.37,59.97
2019-01-09T08:18:39Z,59.72,51.84,29.17,54.05,59.76,41.48,46.70,63.86,41.33,62.42,44.50,56.46,52.44,54.23,50.57,43.67,2465.60,55.87,41.54,59.98
2019-01-09T08:18:44Z,58.19,2800.57,30.98,52.81,60.71,40.76,48.16,64.26,42.05,61.15,42.47,55.97,51.32,52.24,51.11,44.14,37.44,54.96,42.34,57.51
2019-01-09T08:18:49Z,57.28,52.79,29.63,52.57,60.96,39.39,46.53,63.96,39.35,61.72,44.40,56.13,51.15,51.59,50.51,44.85,36.10,55.78,41.50,56.67
2019-01-09T08:18:54Z,58.80,53.35,29.48,52.42,60.20,39.39,45.63,63.59,41.55,62.54,46.01,56.59,49.73,53.42,50.00,43.60,33.46,55.48,42.04,56.20
2019-01-09T08:18:59Z,58.39,51.97,30.67,52.55,59.70,37.74,46.51,63.98,39.92,61.37,46.06,56.10,49.74,53.62,50.15,43.52,31.81,53.93,42.51,56.54
2019-01-09T08:19:04Z,60.58,51.51,30.88,52.23,60.61,39.15,47.79,63.99,37.81,61.90,45.47,56.61,48.99,55.29,49.46,43.35,29.59,52.13,42.81,55.39
2019-01-09T08:19:09Z,62.17,49.87,30.67,51.56,2331.41,40.24,48.85,63.54,37.33,62.07,2417.16,56.58,48.83,54.60,50.16,42.46,29.23,53.00,43.08,55.39
2019-01-09T08:19:14Z,60.74,48.33,30.61,52.07,61.09,41.07,47.18,2048.11,35.56,61.42,44.74,56.05,47.41,56.03,49.84,43.89,28.24,2273.99,42.27,55.69
2019-01-09T08:19:19Z,61.12,47.18,29.62,53.00,61.52,40.20,46.98,64.12,34.91,61.03,44.58,56.24,47.66,57.17,49.23,44.65,31.21,53.14,41.25,55.42
2019-01-09T08:19:24Z,62.14,46.79,28.42,53.18,62.12,38.71,46.63,63.88,32.78,61.63,42.88,56.17,46.41,55.12,48.67,45.93,30.82,50.94,41.80,55.58
2019-01-09T08:19:29Z,61.24,45.46,27.64,52.79,61.90,40.22,45.52,63.69,35.10,60.58,42.31,56.15,47.98,54.44,49.29,46.08,32.97,49.74,41.98,57.39
2019-01-09T08:19:34Z,61.70,2708.75,27.87,53.19,63.07,40.63,45.20,63.36,32.78,59.79,44.54,55.74,48.29,54.53,49.90,44.71,32.95,50.64,40.94,56.22
2019-01-09T08:19:39Z,60.85,45.81,28.53,51.94,63.76,41.36,46.59,63.25,29.92,61.01,45.28,56.08,47.71,53.16,49.34,45.79,31.41,52.77,41.06,56.85
2019-01-09T08:19:44Z,60.88,44.46,2508.61,51.52,64.38,39.70,46.23,63.55,31.71,60.63,46.70,55.98,46.05,54.30,49.92,44.27,30.84,2450.43,41.40,58.58
2019-01-09T08:19:49Z,60.60,46.12,25.69,52.10,63.64,41.20,45.32,63.07,29.22,59.90,46.40,56.36,46.51,54.63,50.45,43.57,29.96,56.05,41.34,58.98
2019-01-09T08:19:54Z,62.93,45.19,26.33,51.05,64.39,41.12,44.70,62.61,30.14,59.24,45.38,56.82,45.46,55.19,50.46,43.69,30.58,55.28,42.32,61.33
2019-01-09T08:19:59Z,64.20,44.88,27.90,49.84,65.19,40.96,46.23,62.26,32.91,58.90,43.25,56.44,44.35,54.82,50.11,44.33,31.59,55.15,43.52,63.42
2019-01-09T08:20:04Z,63.77,44.97,29.29,49.78,65.47,42.24,46.41,61.85,35.30,59.07,45.24,56.55,45.50,56.64,50.31,43.71,28.74,56.75,44.64,63.91
2019-01-09T08:20:09Z,61.69,43.99,29.91,50.28,65.87,43.58,47.17,62.28,35.46,57.90,45.33,1837.28,44.74,55.55,50.58,43.95,26.27,56.69,44.99,62.70
2019-01-09T08:20:14Z,60.84,44.41,2213.36,48.99,66.58,43.30,48.62,62.82,2915.32,58.39,2146.80,55.87,44.98,55.02,50.54,44.54,27.61,58.84,45.60,62.14
2019-01-09T08:20:19Z,58.50,45.09,30.08,50.18,66.39,42.56,47.20,63.39,33.37,57.41,47.80,55.81,45.74,2162.40,51.22,43.66,28.58,59.53,46.60,59.58
2019-01-09T08:20:24Z,56.15,45.02,28.70,49.22,66.18,41.06,45.54,63.08,2739.11,58.55,46.54,56.07,45.11,53.40,51.65,44.19,29.85,61.76,47.19,57.04
2019-01-09T08:20:29Z,54.90,46.75,27.42,48.03,65.07,41.59,46.38,63.60,34.15,58.57,47.15,55.58,45.18,54.40,51.39,42.94,31.83,60.65,47.93,57.00
2019-01-09T08:20:34Z,57.10,47.59,27.42,49.44,64.95,40.70,47.05,64.04,35.39,58.27,48.69,55.55,46.46,54.07,51.58,43.39,29.96,59.19,47.93,54.93
2019-01-09T08:20:39Z,59.60,48.99,25.69,49.02,65.65,41.79,47.30,63.60,33.11,57.47,46.93,55.81,46.78,55.31,50.97,2045.32,27.87,61.04,48.41,53.90
2019-01-09T08:20:44Z,57.47,47.16,27.00,47.46,65.71,41.96,46.92,63.62,35.82,57.47,49.11,55.93,46.26,55.99,51.18,43.57,28.23,58.82,48.89,52.95
2019-01-09T08:20:49Z,58.51,46.94,27.80,48.58,65.16,41.78,45.55,63.35,37.81,58.55,50.92,55.98,44.75,56.47,51.25,43.13,27.49,58.35,49.60,53.38
2019-01-09T08:20:54Z,56.06,2171.24,28.15,48.03,65.86,41.25,44.77,63.07,40.39,58.46,51.71,56.20,46.37,55.21,51.12,43.94,29.44,59.20,48.48,54.33
2019-01-09T08:20:59Z,57.06,48.88,29.73,47.24,65.79,40.63,45.94,63.39,39.29,57.60,53.36,55.68,46.94,56.02,50.73,44.53,31.69,58.49,49.40,55.29
2019-01-09T08:21:04Z,55.58,49.97,30.04,47.76,64.81,41.47,2051.98,63.51,37.51,58.02,52.63,55.24,48.33,54.08,50.69,42.93,31.60,59.56,50.06,54.08
2019-01-09T08:21:09Z,57.95,50.73,28.54,48.06,63.69,42.33,43.33,63.88,36.12,57.12,51.95,55.70,47.94,53.47,50.16,41.54,34.27,57.72,49.13,56.38
2019-01-09T08:21:14Z,56.11,50.97,28.51,48.77,63.80,41.52,42.11,63.58,35.44,57.92,54.11,55.80,46.80,55.68,49.50,42.68,37.10,57.53,47.86,55.25
2019-01-09T08:21:19Z,54.56,50.54,29.98,48.28,63.15,41.53,40.86,64.05,36.18,57.39,51.94,56.08,46.24,57.31,50.15,42.48,35.50,59.78,46.98,55.36
2019-01-09T08:21:24Z,55.91,51.85,31.04,47.74,2067.59,41.66,39.72,64.03,33.98,57.84,53.86,56.65,46.47,55.80,49.48,41.27,37.76,61.43,47.94,54.81
2019-01-09T08:21:29Z,55.97,50.39,30.77,47.81,2052.91,42.88,40.14,63.48,31.95,58.97,54.07,56.31,45.96,57.47,50.07,41.69,36.91,59.48,48.12,57.25
2019-01-09T08:21:34Z,57.26,50.21,30.05,47.45,64.85,41.99,41.42,63.15,31.11,58.56,55.97,56.28,44.65,58.76,50.08,40.80,35.27,61.29,48.62,59.58
2019-01-09T08:21:39Z,57.26,51.63,28.56,47.33,64.71,43.11,42.96,63.48,33.03,58.01,54.25,56.32,45.96,59.79,50.21,41.73,35.62,60.95,48.39,56.78
2019-01-09T08:21:44Z,58.91,49.85,29.41,48.52,63.58,44.49,42.83,63.21,30.30,56.91,52.89,56.30,45.28,57.83,50.41,41.90,35.37,60.92,48.11,55.91
2019-01-09T08:21:49Z,61.12,48.95,29.15,49.48,63.31,45.72,43.34,62.86,30.51,57.06,53.78,1857.02,46.11,56.65,49.85,43.45,35.60,61.21,47.27,57.52
2019-01-09T08:21:54Z,2344.68,48.94,27.45,48.79,62.40,45.80,42.16,62.96,28.60,57.06,55.63,55.95,46.52,55.55,50.22,42.43,34.46,59.93,45.82,59.41
2019-01-09T08:21:59Z,61.20,48.12,25.61,50.20,62.33,44.14,2456.45,63.46,27.74,56.90,53.07,55.84,46.09,57.32,49.77,43.14,2731.72,61.36,45.56,58.17
2019-01-09T08:22:04Z,62.03,49.15,24.46,48.71,62.87,42.74,41.18,63.69,26.18,1956.48,55.36,56.07,46.35,58.28,50.21,41.59,37.96,60.97,44.35,2364.78
2019-01-09T08:22:09Z,62.34,49.64,25.66,49.62,62.26,42.55,41.53,63.61,27.82,57.63,57.67,56.01,45.06,57.66,50.19,41.71,37.17,60.32,43.96,58.78
2019-01-09T08:22:14Z,61.77,50.42,25.78,50.78,61.75,42.25,41.55,63.27,29.03,56.84,55.39,56.53,44.04,2252.24,49.82,40.51,36.59,62.10,43.56,2453.69
2019-01-09T08:22:19Z,60.49,50.97,27.19,52.25,60.62,40.88,42.41,63.37,30.41,56.27,53.45,56.91,45.22,60.02,49.52,39.89,38.83,63.94,43.13,58.30
2019-01-09T08:22:24Z,62.10,51.81,28.87,50.77,60.79,41.69,41.96,63.13,27.82,56.61,54.84,56.34,45.85,58.37,49.05,38.71,36.83,66.06,43.67,60.58
2019-01-09T08:22:29Z,62.06,52.50,28.05,49.20,60.84,43.13,43.43,62.74,28.58,55.76,55.02,55.82,46.84,56.36,48.55,40.05,36.40,64.20,42.45,59.46
2019-01-09T08:22:34Z,62.46,53.99,28.70,50.37,60.36,44.64,44.90,62.84,28.26,57.03,52.83,55.41,48.48,56.60,48.74,38.44,38.11,63.88,43.81,58.16
2019-01-09T08:22:39Z,64.79,53.18,28.20,2144.67,60.22,44.80,43.35,63.26,25.35,57.70,53.57,55.31,47.34,56.64,49.23,2177.90,40.23,63.54,44.81,60.92
2019-01-09T08:22:44Z,63.48,54.08,29.71,51.18,59.54,2185.32,43.03,63.78,27.35,58.57,54.04,55.12,48.63,55.79,49.12,39.00,40.76,61.66,45.55,61.04
2019-01-09T08:22:49Z,65.06,52.96,31.01,50.54,60.68,43.36,43.93,63.95,24.91,59.26,54.19,54.94,47.51,54.50,48.96,39.63,43.17,61.67,45.07,62.21
2019-01-09T08:22:54Z,62.81,52.00,31.68,49.60,59.85,42.93,44.21,64.50,24.99,58.91,52.04,55.51,45.84,54.49,48.32,40.75,45.70,59.48,44.10,60.85
2019-01-09T08:22:59Z,61.00,53.15,32.42,49.41,59.53,42.20,44.17,64.85,25.59,59.48,54.05,55.42,46.67,54.19,48.54,42.18,42.87,61.70,43.33,63.14
2019-01-09T08:23:04Z,63.02,52.22,32.65,50.13,59.57,41.92,44.46,64.32,23.00,59.34,53.29,55.78,46.36,52.33,48.67,41.92,43.14,64.03,42.50,62.16
2019-01-09T08:23:09Z,2371.84,53.53,31.06,2122.64,59.20,43.20,45.85,1948.29,21.90,58.29,50.91,55.26,46.38,50.28,47.98,41.39,41.64,62.94,43.29,61.45
2019-01-09T08:23:14Z,2290.78,53.35,30.49,49.90,58.44,42.39,47.34,65.02,21.01,57.95,52.85,54.96,46.21,2571.33,47.34,39.83,43.26,63.87,43.04,61.84
2019-01-09T08:23:19Z,59.30,51.74,30.54,49.80,59.62,41.69,47.66,65.44,19.29,56.77,51.24,54.79,46.51,50.83,47.58,40.46,44.01,64.01,42.05,59.55
2019-01-09T08:23:24Z,60.77,51.98,29.66,49.75,59.70,40.07,46.63,65.87,20.72,55.93,49.47,55.28,48.14,50.29,47.79,39.08,44.08,64.17,40.92,59.01
2019-01-09T08:23:29Z,61.79,51.68,29.72,50.73,59.44,39.59,46.47,66.00,22.03,55.04,50.39,55.36,47.11,51.68,47.89,40.08,46.49,64.12,40.45,58.40
2019-01-09T08:23:34Z,63.50,51.68,28.61,50.99,58.77,40.95,46.03,66.23,22.89,55.76,52.84,55.29,46.06,2721.66,48.08,40.17,47.05,61.82,41.89,56.64
